"AUTEURSENAUTEURSFUNCTIES","DOCUMENTCODE","DRUK","EMBARGODATUM","ISBN13EAN","ISBNFOLIOBK","JAARVANUITGAVE","MEDIAPRODUCTFAMILY","NAAMVANUITGEVER","NUMMER","OMVANG","ONDERTITEL","PLAATSVANUITGAVE","PRIJS","PRODUCTSTATUS","PRODUCTTEKST","RUBRIEKCODE","RUBRIEKSOMSCHRIJVING","RUBRIEKSOMSCHRIJVING2","RUBRIEKSOMSCHRIJVING3","SAMENVATTINGABSTRACT","SERIENRCQREEKSNR","SERIETITELCQREEKSTITEL","TITEL","VERSCHIJNINGSDATUM","WIJZIGINGSDATUM","WIJZIGINGSSTATUS"
"Vries, S.A. de","gereed","","","9789462511019","9789462511019","2016","","Paris","","28","Rede uitgesproken bij de aanvaarding van het ambt van hoogleraar in het EU interne-marktrecht en grondrechten aan de Universiteit Utrecht op maandag 26 oktober 2015","Zutphen","20.64","Final","","828","","","","In de Europese Unie stond en staat nog grotendeels de instelling van een interne markt, waarin goederen, personen, diensten en kapitaal zich vrij moeten kunnen bewegen, centraal. Door het expansieve karakter van Europese interne marktregels worden vrijwel alle terreinen van het economisch en sociaal leven in de 28 lidstaten van de Unie door deze regels bestreken. Het marktintegratieproces in Europa wordt verder beïnvloed door maatschappelijke en technologische ontwikkelingen, zoals digitalisering, ontwikkelingen op het terrein van het internet of biotechnologische ontwikkelingen. Tegelijkertijd raken deze juridische, maatschappelijke en technologische ontwikkelingen het algemeen belang, ethische kwesties en grondrechten van individuele burgers. Gedacht kan worden aan het recht op privacy en bescherming van persoonsgegevens, het recht op bescherming van intellectuele eigendom, de vrijheid van meningsuiting of het recht op sociale bescherming. De ontwikkelingen in het Europese recht roepen daarom vragen op over de verhouding tussen marktintegratie enerzijds en de bescherming van grondrechten anderzijds: grondrechten die traditioneel in het nationale recht en in het recht van internationale organisaties (zoals de Raad van Europa) zijn neergelegd, maar ook en vooral sinds het Verdrag van Lissabon met het bindende Handvest van de Grondrechten een aparte plaats hebben gekregen in het Unierecht. Behalve dat de Europese interne marktregels grenzen stellen aan de bescherming van deze grondrechten op nationaal niveau, bieden de regels juist ook kansen om grondrechten binnen de Europese Unie beter te waarborgen en legitimiteit van het Europese integratieproces te vergroten.","","","Grondrechten binnen de Europese interne markt: een tragikomisch conflict tussen waarden in de ‘Domus Europaea’","16-03-2016","24-12-2020","Gewijzigd"
"Wiggers, Marc Ph.M. (red.)|Oostwouder, Wilco (red.)","gereed","","","9789462510838","9789462510838","2016","","Paris","","372","Een handleiding voor de praktijk","Zutphen","58.72","Final","","827","","","","In het Handboek compliance in de zorg geven gezaghebbende auteurs vanuit de wetenschap en de praktijk hun visie over de wijze waarop compliance stevig in een zorginstelling kan worden verankerd. In dit Handboek zijn onder meer hoofdstukken gewijd aan ethiek, governance, arbeidsrecht, toezicht, kwaliteit en veiligheid, privacy, mededinging, fraude, financiering en belastingrecht. Diepgaande kennis wordt telkens aangevuld met praktische interviews met kopstukken uit de zorgwereld die bereid zijn geweest om hun ervaringen met de auteurs te delen. Daarbij geeft dit Handboek met bijdragen van compliance officers, concrete inspiratieparagrafen en heldere do 's en don 'ts de bouwstenen voor het opstellen van een complianceprogramma. Dit Handboek is daarmee een standaardwerk voor iedereen die zich bezighoudt met compliance in de zorg. Prof. mr. Wilco Oostwouder: advocaat bij Loyens & Loeff, en daar lid van de praktijkgroep Ondernemingsrecht. Hij is tevens verbonden aan de Universiteit van Utrecht als hoogleraar Bedrijfsfinancieel Recht en de Governance University. Mr. dr. Marc Ph.M. Wiggers: werkzaam als advocaat binnen het zorgteam en corporate investigations team van Loyens & Loeff. Wiggers doceert onder meer aan de Universiteit Utrecht, Nyenrode Business Universiteit, de Governance University en de Academie voor Gezondheidsrecht.","","","Handboek compliance in de zorg","04-02-2016","24-12-2020","Gewijzigd"
"Paardekooper, A.V.","gereed","","","9789462511057","9789462511057","2016","","Paris","","149","Ongeschonden en met plezier een commissariaat hebben","Zutphen","20.64","Final","","800","","","","Advocaat Arjen Paardekooper werd bekend als commissaris van het in zwaar weer verkerende handelshuis Van der Moolen. Het bekendste handelshuis van Nederland ging ter ziele en de afwikkeling van het faillissement zorgde voor veel beroering met veel publiciteit als gevolg. Met scherpe pen beschrijft Arjen Paardekooper door een juridische bril zijn ervaringen als commissaris bij Van der Moolen, zodat collega-commissarissen zich kunnen behoeden voor valkuilen en benarde posities. In Handleiding voor de commissaris (en toezichthouder) schetst Arjen Paardekooper niet alleen een beeld van het voorrecht om commissaris te zijn, maar ook van de vergaande consequenties van aansprakelijkheid bij falend toezicht, absurde situaties en duivelse dilemma 's. Dit boek is een praktische handleiding voor commissarissen en toezichthouders van bedrijven, stichtingen en verenigingen. Niet alleen worden de persoonlijke risico 's in beeld gebracht, ook worden er veel praktische tips gegeven om deze risico 's tot een minimum te beperken. Arjen Paardekooper is ruim 20 jaar advocaat en partner van Blenheim Advocaten in Amsterdam. Vanuit zijn expertise staat hij ondernemingen, bestuurders en commissarissen op uiteenlopende gebieden bij. De auteur onderhoudt een eigen website: www.commissaris-vraagbaak.nl","","","Handleiding voor de commissaris (en toezichthouder)","18-05-2016","24-12-2020","Gewijzigd"
"Westrik, R.","gereed","","","9789462511101","9789462511101","2016","","Paris","","121","How can you know what the applicable law is?","Zutphen","29.36","Final","","822","Privaatrecht","","","Lawyers are taught to work with applicable law and to be familiar with the applicable law, they should  'keep up to date with their literature'. Here, in two sentences, the reality and ways of working of lawyers throughout the past century. Past because, in contemporary times, applicable law can no longer be easily  'recognised'. There is a knowing problem related to applicable law of European origin. This problem consists in two main questions: How are lawyers to know what applicable law is? And, if there is a presumption of  'other' applicable law when practising  'national law', where is it to be found? These questions must be posed in every case, every advice to be written as well as judgments and rulings that have to be pronounced. What, in a specific case, is the prevailing, applicable law irrespective of whether its origins are national or European? The acknowledgement that these questions must be posed in advance, before  'solving' any case, will make great strides in the current ways of working and classification of legal areas. Also, it will pay scant attention to the existing approach where  'European law' is seen as corpus alienum, which influences national law from  'outside' and creates a  'Hidden Civil Law'. A message is sent to the legal world of civil law: Wake up! European law is part of national law and should be studied as applicable law. It should be recognised and implemented rather than being taken as a separate supplement under the flag of  'IPL, European law or its impact'. It is applicable civil law! Roel Westrik is Associate Professor in Civil Law at Erasmus School of Law (ESL), Erasmus University Rotterdam and also working as Head Research Office at a lawfirm (Holla Advocaten, Den Bosch, Eindhoven).","","","Hidden Civil Law","20-07-2016","24-12-2020","Gewijzigd"
"Graaf, K.J. de (red.)|Prechal, A. (red.)|Harten, H.J. van (red.)|Widdershoven, R.J.G.M. (red.)","gereed","","","9789462510999","9789462510999","2016","","Paris","","408","","Zutphen","95.41","Final","","828","","","","This book provides a selection of interesting papers presented at the Third REALaw Research Forum, which was held in Utrecht on January 30, 2015. The overarching theme of the colloquium was Judicial Coherence in the European Union. Ever since the establishment of the EU 's judicial system, coherence in the administration of justice within the EU has been an intriguing topic for debate amongst legal scholars and practitioners. Throughout the development of EU (administrative) law in recent decades, courts have been major players in shaping the EU legal order in law and practice. In the overwhelming majority of cases in everyday EU legal practice, national courts and tribunals fulfil the duty of ensuring that the law is observed in the interpretation and application of EU law. Recent judgments clearly illustrate that judicial coherence in the EU concerns a shared responsibility of the Court of Justice and the courts in the Member States. Between the lines, anticipation of the growing horizontal interaction between national courts of the EU Member States can be observed. The variety, richness and refreshing approaches to questions relating to judicial coherence in the European Union in this book prove that judicial coherence deserves to be further explored and discovered and is of great societal relevance as well.","","","Judicial Coherence in the European Union","04-01-2016","24-12-2020","Gewijzigd"
"Drongelen, J. van","gereed","","","9789462511088","9789462511088","2016","","Paris","","550","Een verslag van een zoektocht naar de relatie tussen overheid, markt en veranderende gedachten over de arbeid(er)","Zutphen","21.10","Final","","825","Arbeids- en sociale zekerheidsrecht","","","Zonder arbeid is het menselijk leven niet denkbaar'. Deze opmerking laat aan duidelijkheid niets te wensen over. Dit neemt niet weg dat de betekenis van arbeid in de loop van de geschiedenis is veranderd. De waardering van arbeid ook, maar dat is afhankelijk van degene die daarover een oordeel uitspreekt. Daarbij speelt wel een rol dat degenen die het hardst ploeteren, zeker in het verleden, in de regel niet naar hun mening wordt gevraagd. In de Middeleeuwen met de overheersende rol van de kerk en standenmaatschappij zou het antwoord niet eens zo slecht zijn uitgevallen. Maar voor een waardeoordeel is een keuzevrijheid noodzakelijk. Eerst met de komst van de Franse Revolutie met zijn  'vrijheid, gelijkheid en (het nooit helemaal thuis te brengen) broederschap' is er een keuzemogelijkheid, althans juridisch. Er volgt een periode waarin onze op arbeid berustende sociale rechtsorde in de plaats komt van een individualistische bezitsorde, aldus Van der Ven. Er is zelfs (een tijdje) sprake van humanisering van de arbeid. In het realiseren van die sociale rechtsorde speelt de overheid een belangrijke rol. Maar ook die blijkt eindig te zijn. De rol van de overheid wordt steeds meer teruggedrongen. Deregulering, privatisering, marktwerking, de toenemende individualisering en flexibilisering maken dat de sociale rechtsorde moet plaatsmaken voor een al maar verdergaande vereconomisering van de samenleving. Maar dat niet alleen, ook vindt er steeds meer ontmensing en ontmenselijking plaats. Arbeid wordt meer en meer teruggebracht tot niet meer dan de productiefactor waardoor de factor arbeid niet meer is geworden dan een wegwerpproduct. Mr. dr. J. van Drongelen: universitair hoofddocent Vakgroep Sociaal Recht en Sociale Politiek van de Universiteit van Tilburg en als adviseur verbonden aan De Voort Advocaten | Mediators in Tilburg","","","Mens-arbeid-recht","05-08-2016","24-12-2020","Gewijzigd"
"Reincke, Wybo","gereed","","","9789462510975","9789462510975","2016","","Paris","","224","","Zutphen","17.89","Final","","820","","","","De mol was in een filosofische bui. Mollen zijn dat vaker dan ganzen en egels doordat zij veel minder zien. Als je weinig ziet, heb je veel ruimte in je kop om na te denken. Omgekeerd is het zo, dat wezens die veel of diep of alle twee nadenken, dikwijls weinig zien en dan ook nogal eens struikelen of tegen een lantaarnpaal lopen en zelfs vliegen. De ezel had in het algemeen, en ook wel buiten het algemeen als je dat kunt zeggen, weinig contact met de eekhoorns. Dat kwam doordat hij niet vaak in bomen klom, en als hij er eenmaal in zat, was hij minder snel en beweeglijk dan de eekhoorns. De ezel vond dat niet erg. Lex wilde gaan studeren. Hij bleef erover zeuren. Ten slotte vonden zijn ouders het goed, maar het moest wel Rechten zijn. Dat paste ook goed bij zijn naam. Lex vond het niks, maar beloofde dat hij het zou doen. Hij vertrok, naar ver weg.","","","Nieuwe Verhalen bij de zandheuvel","19-01-2016","24-12-2020","Gewijzigd"
"Roest, O.A.P. van der","gereed","2","","9789462511026","9789462511026","2016","","Paris","","236","Een korte uitleg","Zutphen","29.11","Final","","820","","","","Dit boek is bedoeld als inleidend (leer)boek. Op een toegankelijke wijze kunnen geïnteresseerden kennismaken met het werk van de jurist en lezen dat de rechtsgeleerdheid meer is dan een subsumptie van een minorpremisse en een majorpremisse. Mr. Oscar A.P. van der Roest studeerde aan de Rijksuniversiteit Groningen en is hoofddocent bestuursrecht en rechtsvinding aan de Hogeschool van Arnhem en Nijmegen. Hij was jaren bestuursrechter, (militair)strafrechter en kinderrechter (plv.) in de Rechtbank Gelderland en vreemdelingenrechter (plv.) in de Rechtbank Den Haag alsmede lid en voorzitter van verschillende bezwaarschriften- en klachtencommissies op gemeentelijk/provinciaal niveau en binnen de jeugdzorg. Verder was hij onder meer verbonden aan het Ambtenarencentrum, de Open Universiteit, het Eggens Instituut voor juridisch postacademisch onderwijs van de Universiteit van Amsterdam en het opleidingsinstituut van de Rechterlijke Organisatie het Studiecentrum Rechtspleging (SSR). Hij publiceerde over inleiding in het Nederlands recht, het ambtenarenrecht en het socialezekerheidsrecht.","","","Recht & Interpretatie","11-05-2016","24-12-2020","Gewijzigd"
"Battjes, H.|Brouwer, E.R.|Slingenberg, C.H.|Spijkerboer, T.P.","gereed","","","9789462511187","9789462511187","2016","","Paris","","54","","Zutphen","23.39","Final","","822","Privaatrecht","","","The increase in the numbers of people applying for asylum in Europe has created a sense of crisis. The authors argue that what is experienced as the European refugee crisis is a crisis of European asylum and migration law and policy. The root cause of the problem is the enormous difference between member states. What is offered to refugees and who is protected differs for each member state. According to the authors of this report, lessons can be learned from the sophisticated manner in which the Refugee Convention of 1951 seeks to balance the interests of refugees and those of receiving states. Prof. H. Battjes, dr. E.R. Brouwer, dr. C.H. Slingenberg and prof. T.P. Spijkerboer all work in the constitutional and administrative law department, section migration law of the VU University Amsterdam.","2016","Preadviezen Christen Juristen Vereniging","The Crisis of European Refugee Law: Lessons from Lake Success","14-12-2016","24-12-2020","Gewijzigd"
"Boogaard, H.P.A.","gereed","","","9789462511064","9789462511064","2016","","Paris","","87","Kredietcrisis, eurocrisis, Europese bankenunie en bankencrisismanagement","Zutphen","20.64","Final","","820","","","","Het boek Toezicht op banken. Kredietcrisis, eurocrisis, Europese bankenunie en bankencrisismanagement gaat in op de ontwikkelingen die zich sinds de financiële crisis, die begon in 2008, hebben voorgedaan in het financiële toezicht op nationaal en Europees niveau en op de politieke en juridische overwegingen die aan deze veranderingen ten grondslag hebben gelegen. De grootste verandering trad op toen de eurolanden in juni 2012 besloten tot de oprichting van de Europese bankenunie. Herstel van vertrouwen, waarborging van de financiële stabiliteit en minimalisatie van de kosten van afwikkeling van noodlijdende banken voor de belastingbetaler waren de overwegingen die aan deze grootscheepse aanpassing van de Europese en Nederlandse regelgeving voor banken ten grondslag lagen. Er wordt uitgebreid stilgestaan bij de hoogte van de eigen vermogens van banken die een enorm tekort vertonen in vergelijking met de eisen die banken in het kader van financiering zelf stellen aan de eigen vermogens van ondernemingen in het bedrijfsleven. De Europese bankenunie is inmiddels van kracht. Uit de toepassing ervan zal moeten blijken of de doelstellingen van de Unie kunnen worden gerealiseerd. In dit boek komen een aantal knelpunten naar voren die de effectiviteit van het (toekomstig) bankentoezicht in de weg kunnen staan. Als de meest belangrijke zijn te noemen: de (on)toereikendheid van het eigen vermogen van de banken, de (on)toereikendheid van het afwikkelfonds en de risico 's van shadow banking die een destabiliserend effect voor het financiële stelsel kunnen hebben. Mr. H.P.A. Boogaard studeerde Accountancy en Rechtsgeleerdheid aan de Open Universiteit Nederland. Zijn masterscriptie, waarop dit boek is gebaseerd, schreef hij over de ontwikkeling van het bankentoezicht. Op dit terrein hoopt hij ook zijn proefschrift te schrijven. In de praktijk heeft hij ruime ervaring opgedaan met het herstel en de afwikkeling van met name organisaties in de gezondheidszorg die in financieel zwaar weer verkeerden. Thans is hij werkzaam als zelfstandig financieel adviseur en bedrijfsjurist.","5","Juridische Reeks","Toezicht op banken","23-06-2016","24-12-2020","Gewijzigd"
"Schelhaas, H.N.|Valk, W.L.","gereed","","","9789462511224","9789462511224","2016","","Paris","","190","Preadviezen Nederlandse Vereniging voor Burgerlijk Recht 2016","Zutphen","38.53","Final","","822","Privaatrecht","","","In dit preadvies staat de thematiek van de uitleg van rechtshandelingen centraal. Weliswaar lijken de basisprincipes op het gebied van uitleg bekend en helder (zoals de Haviltex-maatstaf en de cao-norm), maar de praktijk plaatst de Hoge Raad en allen die het civiele recht beoefenen steeds voor nieuwe vragen. Vooral sinds het arrest DSM/Fox uit 2004 zijn er in de rechtspraak van de Hoge Raad op het gebied van uitleg veel nieuwe nuances geïntroduceerd. Tegen deze achtergrond brengt Valk in het eerste deel van dit preadvies de ontwikkelingen in kaart en trekt hij lijnen door. Hij gaat onder meer in op het rechtstreekse verband tussen uitleg en de wilsvertrouwensleer, objectiverende uitleg, de uitleg van huwelijkse voorwaarden, statuten, algemene voorwaarden, derdenbedingen en verzekeringsovereenkomsten, en uitleg op het snijvlak van het goederen- en verbintenissenrecht. Bovendien wordt de verhouding tussen uitleg en de andere in art. 6:248 BW aangeduide bronnen van de rechtsgevolgen van overeenkomsten (aanvullend en dwingend recht, gewoonterecht en redelijkheid en billijkheid) beknopt besproken alsmede de processuele aspecten van uitleg. Schelhaas plaatst in haar deel van het preadvies de uitleg van rechtshandelingen in een internationaal perspectief door middel van rechtsvergelijking met Engels, Schots, Duits en Frans recht en soft law, en door een analyse van de uitleg van een aantal internationale clausules (bijv. force majeure&hardship clause). Daarna bespreekt zij enkele kwesties van contractvorming: op welke wijze(n) kunnen contractspartijen de wijze van uitleg contractueel modelleren? De preadviseurs komen tot de conclusie dat de thematiek van de uitleg pluriform is en blijft, zowel wat betreft de uitlegmaatstaf, als in internationaal perspectief. Het preadvies besteedt aandacht aan de theorie en de rechtspraktijk, en kan daarmee van waarde zijn voor een ieder die vanuit de wetenschap of rechtspraktijk geconfronteerd wordt met uitlegvragen. Prof. mr. H.N. Schelhaas is Hoogleraar privaatrecht aan de Erasmus Universiteit Rotterdam. Mr. W.L. Valk is advocaat-generaal bij de Hoge Raad der Nederlanden en senior onderzoeker bij de Radboud Universiteit Nijmegen.","2016","Preadviezen Vereniging voor Burgerlijk Recht","Uitleg van rechtshandelingen","30-11-2016","24-12-2020","Gewijzigd"
"Drongelen, J. van | Drongelen, A.","gereed","","","9789462511200","9789462511200","2016","","Paris","","65","Naar een transparanter arbeidsrecht","Zutphen","20.64","Final","","825","Arbeids- en sociale zekerheidsrecht","","","De omschrijving van de arbeidsovereenkomst is sinds de invoering van de Wet op de arbeidsovereenkomst in 1909 nauwelijks gewijzigd. De arbeidsovereenkomst is de grondslag van het arbeidsrecht en biedt de werknemers de meeste bescherming, maar die beschermingsgedachte wordt door werkgevers steeds meer als knellend ervaren. Om die reden hebben zij steeds vaker en steeds meer hun heil gezocht in de zogenoemde  'flexibele arbeidsrelaties' en kiezen werkgevers er steeds vaker voor hun relatie met werknemers op basis van een arbeidsovereenkomst om te zetten in een relatie met een zelfstandige zonder personeel op basis van de overeenkomst van opdracht of aanneming van werk. De scheidslijn tussen een werknemer en een zelfstandige zonder personeel kan soms zo dun zijn dat er sprake is van wat wordt genoemd een schijnconstructie. Het grootschalig gebruik van flexibele arbeidsrelaties en van schijnzelfstandigen wordt maatschappelijk en economisch ongewenst gevonden, ook door de wetgever, wat leidt tot een almaar ingewikkeld wordend arbeidsrecht. Voldoende reden om na te gaan of de omschrijving van de arbeidsovereenkomst moet worden aangepast aan de ingrijpende veranderingen in de arbeidsverhoudingen en de samenleving met als oogmerk dat het arbeidsrecht en de handhaving ervan, al dan niet door de overheid, eenvoudiger wordt en de beschermingsgedachte die aan de (aard van de) arbeidsovereenkomst is gekoppeld toch blijft gehandhaafd. Mevr. mr. A. (Amber) van Drongelen is sinds 1 oktober 2016 als juriste werkzaam bij SRK rechtsbijstand te Zoetermeer. Mr. dr. J. (Harry) van Drongelen is universitair hoofddocent bij de vakgroep sociaal recht en sociale politiek van de Universiteit van Tilburg.","10","Thema's Arbeid & Recht","Van arbeidsovereenkomst naar arbeidsverhouding","28-11-2016","24-12-2020","Gewijzigd"
"Westrik, R.","gereed","","","9789462511071","9789462511071","2016","","Paris","","113","Hoe het geldende recht te kennen?","Zutphen","29.36","Final","","822","Privaatrecht","","","Juristen worden opgeleid om te werken met geldend recht. Om dat geldende recht te kennen dienen zij  'hun literatuur bij te houden'. Ziehier, in twee zinnen, de werkelijkheid én werkwijze van juristen gedurende een voorbije eeuw. Voorbij, omdat in de huidige tijd het geldende recht niet goed meer  'gekend' kan worden. Er bestaat een kenprobleem met betrekking tot het geldende recht van Europese origine. Het kenprobleem bestaat uit twee vragen. Ten eerste:  'Wat is in dit concrete geval het geldende en toepasselijke recht?' Ten tweede: alser (al) een vermoeden is dat  'recht van buitenaf' mogelijk van toepassing is, hoe moet dit dan gevonden worden? Deze vragen, die vooraf, iedere dag, in iedere casus en op elk rechtsgebied gesteld moeten worden, gaan  'met zevenmijlslaarzen' door bestaande werkwijzen en indelingen in rechtsgebieden heen. Zij laten zich niets gelegen liggen aan territoriale of inhoudelijke grenzen of aan de heersende benadering van  'het Europese recht' als  'verborgen privaatrecht', als corpus alienumdat van buitenaf  'doorwerkt' in het nationale recht. De boodschap in dit boek aan de juridische, privaatrechtelijke wereld in de Europese Unie is aldus: Wake up! Het Europese recht is onderdeel van het geldende recht en dient als zodanig – en dus niet als afzonderlijke toevoeging onder de vlag van  'IPR, Europees recht of doorwerking' – bestudeerd, gekend én toegepast te worden. Het gaat om geldend privaatrecht! Roel Westrik is als Universitair hoofddocent privaatrecht verbonden aan de Erasmus School of Law (ESL) van de Erasmus Universiteit Rotterdam en als Hoofd Wetenschappelijk Bureau werkzaam bij Holla Advocaten (Den Bosch, Eindhoven).","","","Verborgen privaatrecht","20-07-2016","24-12-2020","Gewijzigd"
"Schwarz, C.A. (red.)|Wolf, R.A. (red.)|Hamers, J.J.A. (red.)|Renssen, S. (red.)","gereed","","","9789462511156","9789462511156","2016","","Paris","","136","ICGI-reeks","Zutphen","33.49","Final","","827","","","","In deze bundel zijn acht artikelen opgenomen die zijn geschreven rondom een actueel en maatschappelijk relevant thema: herstructurering van ondernemingen. Sommige artikelen zijn Europees of internationaalrechtelijk georiënteerd, terwijl andere zijn gelegen in het hart van het nationale ondernemingsrecht. In een aantal artikelen wordt het ondernemingsrecht gecombineerd met flankerende rechtsgebieden, zoals het insolventierecht. Deze bijdragen zijn zowel voor de wetenschapper als voor de praktijkjurist van groot belang. De Universiteit Maastricht ontwikkelde in 2012 een nieuw initiatief – PREMIUM geheten – waarbij faculteiten de mogelijkheid kregen excellentie bevorderende programma 's te bedenken en te operationaliseren ten behoeve van hun beste masterstudenten. Vanuit het Institute for Corporate Law, Governance and Innovation Policies (ICGI), dat verbonden is aan de juridische faculteit, is een aantal van die programma 's ontwikkeld. Uit het derde PREMIUM-initiatief dat het ICGI in 2012 heeft ontplooid, is het eerste deel van de ICGI-reeks, Young Corporate Lawyers 2013 geresulteerd. Young Corporate Lawyers 2016 is het vierde deel van de ICGI-reeks. Deze reeks vloeit voort uit de ICGI PREMIUM Masterclassreeks 2015-2016. Een selecte groep studenten heeft zich in het kader van dit honoursprogramma verdiept in een aantal actuele ondernemingsrechtelijke thema 's met wetenschappelijke en praktische relevantie.","4","ICGI-Reeks","Young Corporate Lawyers 2016","14-10-2016","24-12-2020","Gewijzigd"
"Chao-Duijvis, M.A.B.|Wijngaarden, M.A. van","gereed","","","9789462511309","9789462511309","2017","","Paris","","286","Met een bijzonder voorwoord van prof. mr. dr. H.D. van Romburgh","Zutphen","82.57","Final","","822","Privaatrecht","","","In de Serie Bouw- en Aanbestedingsrecht geeft de auteur een op de praktijk gerichte behandeling van de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht. Centraal staat de behandeling van de verschillende algemene voorwaarden in de bouw. Het commentaar van de schrijver op elk van deze algemene voorwaarden is voorzien van veel jurisprudentie, met name van de Raad van Arbitrage voor de Bouw alsmede de overheidsrechter. Op deze wijze worden de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht in delen van beperkte omvang, doch tamelijk uitputtend, behandeld. Daarbij komen in de eerste plaats die onderwerpen aan de orde, die in de praktijk het meest aanleiding tot conflicten geven. In deel 20 worden behandeld: Algemene inleiding op het aanbestedingsrecht, Beginselen en uitgangspunten, Aanbestedingsplichtige opdracht en opdrachtgever, Aanbestedingsprocedures, Aankondiging. Mr. M.A. van Wijngaarden: in leven emeritus hoogleraar bouwrecht aan de Rijksuniversiteit Leiden. Prof. mr. dr. M.A.B. Chao-Duivis: directeur van het Instituut voor Bouwrecht, hoogleraar bouwrecht aan de Technische Universiteit Delft, arbiter bij de Raad van Arbitrage, raadsheer-plaatsvervanger bij het Hof 's-Gravenhage en lid van de Commissie van Aanbestedingsexperts.","20","Serie Bouw- en Aanbestedingsrecht (serie)","Aanbestedingsrecht deel 20 (nieuwe opzet)","11-04-2017","24-12-2020","Gewijzigd"
"Chao-Duijvis, M.A.B.|Wijngaarden, M.A. van","gereed","","","9789462511378","9789462511378","2017","","Paris","","304","Met een bijzonder voorwoord van mr. M.M. Fimerius","Zutphen","82.57","Final","","822","Privaatrecht","","","In de Serie Bouw- en Aanbestedingsrecht geeft de auteur een op de praktijk gerichte behandeling van de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht. Centraal staat de behandeling van de verschillende algemene voorwaarden in de bouw. Het commentaar van de schrijver op elk van deze algemene voorwaarden is voorzien van veel jurisprudentie, met name van de Raad van Arbitrage voor de Bouw alsmede de overheidsrechter. Op deze wijze worden de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht in delen van beperkte omvang, doch tamelijk uitputtend, behandeld. Daarbij komen in de eerste plaats die onderwerpen aan de orde, die in de praktijk het meest aanleiding tot conflicten geven. In deel 21 worden behandeld: Eigen verklaring en gedragsverklaring, Algemene inleiding op eisen en criteria, Uitsluitingsgronden, Geschiktheidseisen, Selectiecriteria, Mr. M.A. van Wijngaarden: in leven emeritus hoogleraar bouwrecht aan de Rijksuniversiteit Leiden. Prof. mr. dr. M.A.B. Chao-Duivis: directeur van het Instituut voor Bouwrecht, hoogleraar bouwrecht aan de Technische Universiteit Delft, arbiter bij de Raad van Arbitrage, raadsheer-plaatsvervanger bij het Hof 's-Gravenhage en lid van de Commissie van Aanbestedingsexperts.","21","Serie Bouw- en Aanbestedingsrecht (serie)","Aanbestedingsrecht deel 21 (nieuwe opzet)","10-07-2017","24-12-2020","Gewijzigd"
"Chao-Duijvis, M.A.B.|Wijngaarden, M.A. van","gereed","","","9789462511521","9789462511521","2017","","Paris","","194","Met een bijzonder voorwoord van mr. P. Heemskerk","Zutphen","67.43","Final","","822","Privaatrecht","","","In de Serie Bouw- en Aanbestedingsrecht geeft de auteur een op de praktijk gerichte behandeling van de belangrijkste onderwerpen uit het bouw- en aanbestedingsrecht. Deel 20 tot en met 24 zijn gewijd aan het aanbestedingsrecht. Het gaat om het aanbestedingsrecht in de brede zin van het woord: alle economische sectoren betreffend. Deze delen vormen een eigen geheel binnen de serie en zijn van belang voor eenieder die zich bezighoudt met aanbestedingsrecht of het nu om de zorgsector, de bouwsector of welke sector dan ook gaat. De behandeling van het aanbestedingsrecht is gebaseerd op de aanbestedingswet en het ARW. Daarbinnen is gekozen voor die onderwerpen, die getuige de hoeveelheid rechtspraak de meeste aandacht verdienen. Naast de vele rechtspraak die is opgenomen, zijn ook adviezen van de Commissie van Aanbestedingsexperts opgenomen. Met behulp van de gedetailleerde inhoudsopgave is snel de rechtspraak te vinden, die inzicht kan geven in wat wel en niet geoorloofd is. In deel 22 wordt behandeld: Inschrijving. Mr. M.A. van Wijngaarden: in leven emeritus hoogleraar bouwrecht aan de Rijksuniversiteit Leiden. Prof. mr. dr. M.A.B. Chao-Duivis: directeur van het Instituut voor Bouwrecht, hoogleraar bouwrecht aan de Technische Universiteit Delft, arbiter bij de Raad van Arbitrage, raadsheer-plaatsvervanger bij het Hof 's-Gravenhage en lid van de Commissie van Aanbestedingsexperts.","22","Serie Bouw- en Aanbestedingsrecht (serie)","Aanbestedingsrecht deel 22 (nieuwe opzet)","16-11-2017","24-12-2020","Gewijzigd"
